what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337500347145
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1337500347145
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1337500347145
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1337500347145
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1337500347145
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1337500347145
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1337500347145
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1337500347145
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1337500347161
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1337500347161
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1337500347161
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1337500347176
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1337500347176
os,sysinfo,,,"win32",1337500347176
arch,sysinfo,,,"x86",1337500347176
ws,sysinfo,,,"win32",1337500347176
locale,sysinfo,,,"en_US",1337500347176
processors,sysinfo,,,"4",1337500347176
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337500347176
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1337500347176
java.specification.name,sysinfo,,,"Java Platform API Specification",1337500347176
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337500347176
java.specification.version,sysinfo,,,"1.7",1337500347176
java.vendor,sysinfo,,,"Oracle Corporation",1337500347176
java.version,sysinfo,,,"1.7.0_01",1337500347176
java.vm.info,sysinfo,,,"mixed mode, sharing",1337500347176
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1337500347176
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337500347176
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337500347176
java.vm.specification.version,sysinfo,,,"1.7",1337500347176
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337500347176
java.vm.version,sysinfo,,,"21.1-b02",1337500347176
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337500348206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337500348580
